"Option","Average.Debt.at.Graduation...."
"Private",8577
"Private",19104
"Private",16723
"Private",21506
"Private",15521
"Private",25528
"Private",20677
"Private",21238
"Private",22197
"Private",23485
"Private",19135
"Private",25167
"Private",26983
"Private",24394
"Private",27237
"Private",26157
"Private",23067
"Private",21291
"Private",24702
"Private",20849
"Private",24243
"Private",23051
"Private",26185
"Private",15720
"Private",36546
"Private",36626
"Private",34940
"Private",27925
"Private",28048
"Private",30873
"Private",29547
"Private",33588
"Private",27407
"Private",33792
"Private",30850
"Private",19000
"Private",22364
"Private",29459
"Private",30742
"Private",23772
"Private",33081
"Private",30480
"Private",32040
"Private",31622
"Private",30879
"Private",31444
"Private",28562
"Private",32077
"Private",26451
"Private",40365
"Private",26321
"Private",21067
"Private",34820
"Private",30569
"Private",32394
"Private",33487
"Private",25621
"Private",28953
"Private",35740
"Private",26722
"Private",25069
"Private",22543
"Private",29947
"Private",40721
"Private",28464
"Private",31000
"Private",35520
"Private",40403
"Private",31013
"Private",32943
"Private",30487
"Private",37048
"Private",34865
"Private",37008
"Private",29297
"Private",32071
"Private",31784
"Private",39167
"Private",30826
"Private",29455
"Private",28093
"Private",30830
"Private",36500
"Private",27857
"Private",38198
"Private",28477
"Private",34375
"Private",34803
"Private",28598
"Private",35627
"Private",28149
"Private",30658
"Private",37740
"Private",38780
"Private",36625
"Private",32131
"Private",25770
"Private",29000
"Private",33870
"Private",39771
"Public",20127
"Public",24905
"Public",17869
"Public",26017
"Public",26034
"Public",21596
"Public",21028
"Public",26818
"Public",25182
"Public",22087
"Public",26994
"Public",21180
"Public",25349
"Public",20978
"Public",25844
"Public",25448
"Public",21660
"Public",17461
"Public",14929
"Public",26006
"Public",21678
"Public",27400
"Public",20628
"Public",30270
"Public",30015
"Public",7915
"Public",24999
"Public",22912
"Public",36994
"Public",19588
"Public",24220
"Public",21174
"Public",25334
"Public",27711
"Public",23592
"Public",28873
"Public",20611
"Public",26091
"Public",34101
"Public",22300
"Public",38045
"Public",24276
"Public",28170
"Public",35972
"Public",22401
"Public",31958
"Public",25605
"Public",28517
"Public",24272
"Public",22580
"Public",21824
"Public",16077
"Public",26060
"Public",27255
"Public",27681
"Public",24768
"Public",19500
"Public",27006
"Public",20100
"Public",29320
"Public",19056
"Public",25677
"Public",10715
"Public",14307
"Public",24509
"Public",22899
"Public",26391
"Public",26234
"Public",21464
"Public",22972
"Public",22696
"Public",18918
"Public",28968
"Public",19396
"Public",25885
"Public",23488
"Public",25049
"Public",24179
"Public",28771
"Public",13000
"Public",23307
"Public",24095
"Public",27571
"Public",29312
"Public",11679
"Public",37372
"Public",26087
"Public",27535
"Public",25805
"Public",27373
"Public",21797
"Public",22357
"Public",23483
"Public",20074
"Public",28368
"Public",29193
"Public",28438
"Public",26578
"Public",32031
"Public",26123
